Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
SPELLAN,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          42.2%","Maps played
                          11","Deaths per round
                          0.70","Rounds contributed
                          70.6%"
drop,"Rating 2.0
                          1.00","Kills per round
                          0.59","Headshots
                          48.9%","Maps played
                          56","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
jabbi,"Rating 2.0
                          1.02","Kills per round
                          0.64","Headshots
                          54.1%","Maps played
                          33","Deaths per round
                          0.66","Rounds contributed
                          70.9%"
Zyphon,"Rating 2.0
                          1.13","Kills per round
                          0.71","Headshots
                          56.2%","Maps played
                          95","Deaths per round
                          0.64","Rounds contributed
                          73.3%"
roeJ,"Rating 2.0
                          0.99","Kills per round
                          0.64","Headshots
                          51.4%","Maps played
                          29","Deaths per round
                          0.70","Rounds contributed
                          66.1%"
nicoodoz,"Rating 2.0
                          1.20","Kills per round
                          0.80","Headshots
                          40.4%","Maps played
                          94","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
HooXi,"Rating 2.0
                          0.87","Kills per round
                          0.52","Headshots
                          50.3%","Maps played
                          52","Deaths per round
                          0.68","Rounds contributed
                          67.5%"
stanislaw,"Rating 2.0
                          0.99","Kills per round
                          0.60","Headshots
                          46.9%","Maps played
                          58","Deaths per round
                          0.65","Rounds contributed
                          70.0%"
phzy,"Rating 2.0
                          1.37","Kills per round
                          0.84","Headshots
                          39.1%","Maps played
                          3","Deaths per round
                          0.53","Rounds contributed
                          72.7%"
kennyS,,,,,,
felps,"Rating 2.0
                          1.05","Kills per round
                          0.70","Headshots
                          41.4%","Maps played
                          20","Deaths per round
                          0.71","Rounds contributed
                          67.3%"
b4rtiN,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          54.3%","Maps played
                          19","Deaths per round
                          0.59","Rounds contributed
                          73.8%"
latto,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          55.3%","Maps played
                          36","Deaths per round
                          0.60","Rounds contributed
                          72.8%"
dumau,"Rating 2.0
                          1.11","Kills per round
                          0.70","Headshots
                          45.4%","Maps played
                          36","Deaths per round
                          0.64","Rounds contributed
                          71.7%"
TACO,,,,,,
smooya,"Rating 2.0
                          1.19","Kills per round
                          0.78","Headshots
                          27.2%","Maps played
                          29","Deaths per round
                          0.64","Rounds contributed
                          73.2%"
DANK1NG,,,,,,
SLOWLY,"Rating 2.0
                          1.13","Kills per round
                          0.73","Headshots
                          58.9%","Maps played
                          12","Deaths per round
                          0.68","Rounds contributed
                          71.3%"
Attacker,,,,,,
somebody,"Rating 2.0
                          1.25","Kills per round
                          0.82","Headshots
                          49.2%","Maps played
                          9","Deaths per round
                          0.60","Rounds contributed
                          81.1%"
Summer,"Rating 2.0
                          1.16","Kills per round
                          0.71","Headshots
                          66.7%","Maps played
                          3","Deaths per round
                          0.71","Rounds contributed
                          78.2%"
Maden,"Rating 2.0
                          1.00","Kills per round
                          0.65","Headshots
                          46.9%","Maps played
                          41","Deaths per round
                          0.67","Rounds contributed
                          70.3%"
b0RUP,"Rating 2.0
                          0.95","Kills per round
                          0.58","Headshots
                          60.0%","Maps played
                          41","Deaths per round
                          0.66","Rounds contributed
                          69.5%"
