Team 1,Team 2,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating
"FURIA
                    
                    0","Heroic
                    
                    2",Andrei 'arT' Piovezan,arT,36-49,-13,66.5,53.2%,0.80,René 'TeSeS' Madsen,TeSeS,43-39,+4,66.3,69.4%,1.00
"FURIA
                    
                    0","Heroic
                    
                    2",Andrei 'arT' Piovezan,arT,36-49,-13,66.5,53.2%,0.80,Martin 'stavn' Lund,stavn,36-43,-7,67.6,61.3%,0.86
"FaZe
                    
                    2","Vitality
                    
                    0",Håvard 'rain' Nygaard,rain,43-37,+6,85.8,71.9%,1.22,,,,,,,
"FaZe
                    
                    2","Vitality
                    
                    0",Helvijs 'broky' Saukants,broky,42-36,+6,80.9,71.9%,1.17,,,,,,,
"FaZe
                    
                    2","Vitality
                    
                    0",Russel 'Twistzz' Van Dulken,Twistzz,39-32,+7,69.2,77.2%,1.17,,,,,,,
"FaZe
                    
                    2","Vitality
                    
                    0",Olof 'olofmeister' Kajbjer,olofmeister,40-36,+4,73.4,80.7%,1.13,,,,,,,
"FaZe
                    
                    2","Vitality
                    
                    0",Finn 'karrigan' Andersen,karrigan,41-38,+3,75.1,75.4%,1.11,Mathieu 'ZywOo' Herbaut,ZywOo,39-36,+3,70.7,68.4%,1.07
"FaZe
                    
                    2","Vitality
                    
                    0",Finn 'karrigan' Andersen,karrigan,41-38,+3,75.1,75.4%,1.11,Kévin 'misutaaa' Rabier,misutaaa,39-45,-6,67.0,75.4%,0.97
"FaZe
                    
                    2","Vitality
                    
                    0",Finn 'karrigan' Andersen,karrigan,41-38,+3,75.1,75.4%,1.11,Jayson 'Kyojin' Nguyen Van,Kyojin,35-41,-6,75.0,61.4%,0.90
"FaZe
                    
                    2","Vitality
                    
                    0",Finn 'karrigan' Andersen,karrigan,41-38,+3,75.1,75.4%,1.11,Richard 'shox' Papillon,shox,34-41,-7,61.4,66.7%,0.87
"FaZe
                    
                    2","Vitality
                    
                    0",Finn 'karrigan' Andersen,karrigan,41-38,+3,75.1,75.4%,1.11,Dan 'apEX' Madesclaire,apEX,32-42,-10,72.1,64.9%,0.87
"Astralis
                    
                    2","Heroic
                    
                    0",Peter 'dupreeh' Rasmussen,dupreeh,53-33,+20,91.6,78.2%,1.41,,,,,,,
"Astralis
                    
                    2","Heroic
                    
                    0",Andreas 'Xyp9x' Højsleth,Xyp9x,39-34,+5,82.0,76.4%,1.16,,,,,,,
"Astralis
                    
                    2","Heroic
                    
                    0",Lucas 'Bubzkji' Andersen,Bubzkji,38-37,+1,73.6,76.4%,1.10,,,,,,,
"Astralis
                    
                    2","Heroic
                    
                    0",Lukas 'gla1ve' Rossander,gla1ve,26-32,-6,57.7,78.2%,0.97,,,,,,,
"Astralis
                    
                    2","Heroic
                    
                    0",Emil 'Magisk' Reif,Magisk,32-34,-2,68.8,69.1%,0.95,Martin 'stavn' Lund,stavn,42-40,+2,84.8,72.7%,1.18
"Astralis
                    
                    2","Heroic
                    
                    0",Emil 'Magisk' Reif,Magisk,32-34,-2,68.8,69.1%,0.95,Casper 'cadiaN' Møller,cadiaN,40-35,+5,68.0,69.1%,1.04
"Astralis
                    
                    2","Heroic
                    
                    0",Emil 'Magisk' Reif,Magisk,32-34,-2,68.8,69.1%,0.95,Rasmus 'sjuush' Beck,sjuush,34-33,+1,70.2,72.7%,1.00
"Astralis
                    
                    2","Heroic
                    
                    0",Emil 'Magisk' Reif,Magisk,32-34,-2,68.8,69.1%,0.95,René 'TeSeS' Madsen,TeSeS,32-43,-11,65.7,63.6%,0.82
"Astralis
                    
                    2","Heroic
                    
                    0",Emil 'Magisk' Reif,Magisk,32-34,-2,68.8,69.1%,0.95,Ismail 'refrezh' Ali,refrezh,19-38,-19,50.0,67.3%,0.68
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Hampus 'hampus' Poser,hampus,41-35,+6,85.4,71.2%,1.20,,,,,,,
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Fredrik 'REZ' Sterner,REZ,42-37,+5,73.4,75.0%,1.07,,,,,,,
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Nicolai 'device' Reedtz,device,28-35,-7,63.8,73.1%,0.93,,,,,,,
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Nicolas 'Plopski' Gonzalez Zamora,Plopski,26-39,-13,67.3,71.2%,0.84,,,,,,,
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Linus 'LNZ' Holtäng,LNZ,21-37,-16,52.3,65.4%,0.76,Timur 'buster' Tulepov,buster,45-32,+13,90.6,80.8%,1.36
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Linus 'LNZ' Holtäng,LNZ,21-37,-16,52.3,65.4%,0.76,Dzhami 'Jame' Ali,Jame,39-30,+9,72.9,75.0%,1.20
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Linus 'LNZ' Holtäng,LNZ,21-37,-16,52.3,65.4%,0.76,Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,34-34,0,77.5,75.0%,1.13
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Linus 'LNZ' Holtäng,LNZ,21-37,-16,52.3,65.4%,0.76,Alexey 'Qikert' Golubev,Qikert,31-33,-2,76.2,75.0%,1.10
"Ninjas in Pyjamas
                    
                    0","Virtus.pro
                    
                    2",Linus 'LNZ' Holtäng,LNZ,21-37,-16,52.3,65.4%,0.76,Sanjar 'SANJI' Kuliev,SANJI,31-31,0,60.1,69.2%,0.94
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Mathieu 'ZywOo' Herbaut,ZywOo,59-50,+9,78.4,71.4%,1.14,,,,,,,
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Richard 'shox' Papillon,shox,54-55,-1,78.1,64.9%,1.03,,,,,,,
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Kévin 'misutaaa' Rabier,misutaaa,44-56,-12,62.2,64.9%,0.83,,,,,,,
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Jayson 'Kyojin' Nguyen Van,Kyojin,39-58,-19,65.6,64.9%,0.81,,,,,,,
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Dan 'apEX' Madesclaire,apEX,36-56,-20,68.2,59.7%,0.76,Ilya 'Perfecto' Zalutskiy,Perfecto,58-45,+13,84.9,79.2%,1.25
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Dan 'apEX' Madesclaire,apEX,36-56,-20,68.2,59.7%,0.76,Oleksandr 's1mple' Kostyliev,s1mple,56-43,+13,79.2,75.3%,1.23
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Dan 'apEX' Madesclaire,apEX,36-56,-20,68.2,59.7%,0.76,Denis 'electroNic' Sharipov,electroNic,54-46,+8,78.9,75.3%,1.19
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Dan 'apEX' Madesclaire,apEX,36-56,-20,68.2,59.7%,0.76,Valeriy 'b1t' Vakhovskiy,b1t,55-50,+5,77.7,76.6%,1.19
"Vitality
                    
                    1","Natus Vincere
                    
                    2",Dan 'apEX' Madesclaire,apEX,36-56,-20,68.2,59.7%,0.76,Kirill 'Boombl4' Mikhailov,Boombl4,50-48,+2,65.6,72.7%,1.09
"Liquid
                    
                    0","BIG
                    
                    2",Keith 'NAF' Markovic,NAF,32-40,-8,81.6,76.8%,1.10,,,,,,,
"Liquid
                    
                    0","BIG
                    
                    2",Jonathan 'EliGE' Jablonowski,EliGE,42-46,-4,82.9,66.1%,1.04,,,,,,,
"Liquid
                    
                    0","BIG
                    
                    2",Michael 'Grim' Wince,Grim,39-43,-4,71.3,64.3%,0.92,,,,,,,
"Liquid
                    
                    0","BIG
                    
                    2",Jake 'Stewie2K' Yip,Stewie2K,27-37,-10,54.2,60.7%,0.83,,,,,,,
"Liquid
                    
                    0","BIG
                    
                    2",Gabriel 'FalleN' Toledo,FalleN,33-40,-7,58.8,60.7%,0.82,Florian 'syrsoN' Rische,syrsoN,47-29,+18,74.9,82.1%,1.34
"Liquid
                    
                    0","BIG
                    
                    2",Gabriel 'FalleN' Toledo,FalleN,33-40,-7,58.8,60.7%,0.82,Ismailcan 'XANTARES' Dörtkardeş,XANTARES,45-35,+10,87.6,80.4%,1.28
"Liquid
                    
                    0","BIG
                    
                    2",Gabriel 'FalleN' Toledo,FalleN,33-40,-7,58.8,60.7%,0.82,Johannes 'tabseN' Wodarz,tabseN,37-39,-2,79.2,78.6%,1.12
"Liquid
                    
                    0","BIG
                    
                    2",Gabriel 'FalleN' Toledo,FalleN,33-40,-7,58.8,60.7%,0.82,Nils 'k1to' Gruhne,k1to,43-41,+2,85.8,67.9%,1.10
"Liquid
                    
                    0","BIG
                    
                    2",Gabriel 'FalleN' Toledo,FalleN,33-40,-7,58.8,60.7%,0.82,Tizian 'tiziaN' Feldbusch,tiziaN,33-29,+4,65.1,76.8%,1.05
"FaZe
                    
                    2","Spirit
                    
                    1",Russel 'Twistzz' Van Dulken,Twistzz,72-52,+20,99.7,70.7%,1.34,,,,,,,
"FaZe
                    
                    2","Spirit
                    
                    1",Helvijs 'broky' Saukants,broky,60-49,+11,71.6,72.0%,1.07,,,,,,,
"FaZe
                    
                    2","Spirit
                    
                    1",Håvard 'rain' Nygaard,rain,52-54,-2,74.6,69.5%,1.02,,,,,,,
"FaZe
                    
                    2","Spirit
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,45-49,-4,67.6,65.9%,0.89,,,,,,,
"FaZe
                    
                    2","Spirit
                    
                    1",Finn 'karrigan' Andersen,karrigan,37-63,-26,56.8,56.1%,0.68,Abdul 'degster' Gasanov,degster,70-43,+27,82.4,75.6%,1.34
"FaZe
                    
                    2","Spirit
                    
                    1",Finn 'karrigan' Andersen,karrigan,37-63,-26,56.8,56.1%,0.68,Nikolay 'mir' Bityukov,mir,57-55,+2,79.2,65.9%,1.13
"FaZe
                    
                    2","Spirit
                    
                    1",Finn 'karrigan' Andersen,karrigan,37-63,-26,56.8,56.1%,0.68,Viktor 'sdy' Orudzhev,sdy,51-58,-7,69.5,67.1%,0.99
"FaZe
                    
                    2","Spirit
                    
                    1",Finn 'karrigan' Andersen,karrigan,37-63,-26,56.8,56.1%,0.68,Boris 'magixx' Vorobiev,magixx,48-58,-10,63.7,63.4%,0.93
"FaZe
                    
                    2","Spirit
                    
                    1",Finn 'karrigan' Andersen,karrigan,37-63,-26,56.8,56.1%,0.68,Leonid 'chopper' Vishnyakov,chopper,41-56,-15,63.9,67.1%,0.90
"FURIA
                    
                    2","Renegades
                    
                    0",Kaike 'KSCERATO' Cerato,KSCERATO,51-32,+19,106.1,78.8%,1.53,,,,,,,
